Date,OPEX,Action,Position,Strike,Call_Price,Put_Price,Stock,Net_Delta,Combined_Gamma,ATM_Straddle_Gamma,Hedge,Cash,Option_PnL,Hedge_PnL,Financing_PnL,Commission,Net_PnL
2025-02-21,2025-04,ENTER,SHORT,7178.3,700.0,408.999,7150.0,-0.2270352303338865,0.0005432620707599615,0.0005709549933989985,2270,-5140510.0,0.0,0.0,0.0,31999.4325,-31999.4325
2025-03-25,2025-04,ROLL_CLOSE (Net delta too high (0.51 > 0.5)),SHORT,7178.3,765.0,167.0,7650.0,0.5130629149001082,0.0006314318717322331,0.0007669111438744195,0,254242.1847357154,1769990.0000000002,-1410150.0,-105597.81526428246,167324.50595,86917.67878571778
2025-03-25,2025-04,ROLL_OPEN,SHORT,7578.3,520.0,315.0,7650.0,-0.2170416044955783,0.0007651346963942735,0.0007669111438744195,2170,-7996257.815264285,1769990.0000000002,-1410150.0,-105597.81526428246,194067.80844999998,60174.37628571779
2025-04-04,2025-04,ROLL_CLOSE (Gamma decay (0.000482 < 0.000549)),SHORT,7578.3,45.0,1127.402,6440.0,-0.7844136709577776,0.00048219147275560786,0.0010976194096463923,0,-432947.8210969046,-1604030.0000000002,1147700.0,23382.1789030944,267334.26489999995,-700282.0859969058
2025-04-04,2025-04,ROLL_OPEN,SHORT,6378.3,355.0,239.0,6440.0,-0.16897491227219374,0.0010971021605789874,0.0010976194096463923,1690,-5376547.821096905,-1604030.0000000002,1147700.0,23382.1789030944,285798.84289999993,-718746.6639969058
2025-04-08,2025-04,ROLL_CLOSE (Near expiry (7 days left)),SHORT,6378.3,225.0,280.0,6240.0,-0.08909154058187485,0.0012550623526898213,0.0014257602268834713,0,-136037.149169242,-714030.0000000002,555460.0,22532.850830756255,313360.1108999999,-449397.2600692439
2025-04-16,2025-06,ENTER,SHORT,7000.0,820.0,399.0,7070.0,-0.3780742733160831,0.0005269236504776079,0.0004856155165348418,3781,-14541670.0,0.0,0.0,0.0,40552.66035,-40552.66035
2025-04-23,2025-06,ROLL_CLOSE (Net delta too high (0.58 > 0.5)),SHORT,7000.0,1050.0,286.0,7580.0,0.5781237882550563,0.0004464543030519101,0.0005038545115824989,0,110909.00281576812,-1170000.0,1364910.0,-84000.99718422921,107165.16244999999,3743.840365770797
2025-04-25,2025-06,ENTER,SHORT,7600.0,678.98,475.0,7610.0,-0.2917639425961829,0.0006091668096001635,0.0005268146404027543,2918,-10555270.997184232,-1170000.0,1364910.0,-84000.99718422921,143679.38035,-32770.37753422921
2025-06-18,2025-06,CLOSE_OPEX_END,SHORT,7600.0,0.0,1260.0,6340.0,0.0,0.0,0.0,0,13251888.280972462,-2230200.0,1871980.0,1010108.2809724571,210854.02019999997,441034.2607724572
2025-06-19,2025-08,ENTER,SHORT,6345.2,584.0,273.366,6370.0,-0.2923780973374488,0.0007059055091948389,0.000717625679222292,2924,-10052220.0,0.0,0.0,0.0,28415.9774,-28415.9774
2025-08-13,2025-08,CLOSE_OPEX_END,SHORT,6345.2,484.8000000000002,0.0,6830.0,0.0,0.0,0.0,0,8047874.305636724,3725659.999999998,-450310.0,-75475.69436327455,72816.53795000001,3127057.7676867237
2025-08-14,2025-10,ENTER,SHORT,6357.3,749.0,180.0,6450.0,-0.42569562789812565,0.0005985645688446772,0.0006347578138866345,4257,-18167650.0,0.0,0.0,0.0,35191.878249999994,-35191.878249999994
2025-10-16,2025-10,CLOSE_OPEX_END,SHORT,6357.3,0.0,1504.8000000000002,4852.5,0.0,0.0,0.0,0,8842979.636130225,-5758000.000000002,-1406917.5,959897.136130225,114876.7803875,-6319897.144257277
2025-10-17,2025-12,ENTER,SHORT,5034.3,625.0,452.0,4960.0,-0.3354069768000463,0.0006575220800184537,0.0005372271589479739,3354,-5865840.0,0.0,0.0,0.0,31604.6832,-31604.6832
2025-10-24,2025-12,ROLL_CLOSE (Net delta too high (0.58 > 0.5)),SHORT,5034.3,1030.0,388.0,5550.0,0.5823992572811969,0.0004325730119709736,0.0004403901694873125,0,-1238399.6484835967,-3410000.0,2233800.0,-62199.648483596146,77666.4871,-1316066.135583596
2025-10-24,2025-12,ROLL_OPEN,SHORT,5655.8,685.0,714.394,5550.0,-0.25206153859546854,0.0005511337192464018,0.0004403901694873125,2521,-1236009.6484835967,-3410000.0,2233800.0,-62199.648483596146,114119.25485,-1352518.903333596
2025-10-27,2025-12,ROLL_CLOSE (Gamma decay (0.000000 < 0.000318)),SHORT,5655.8,1589.0,31.6,7090.0,1.0,0.0,0.0006350922340600754,0,427511.98864915967,-5622060.0,6116140.0,-66568.01135083954,157344.9583,270167.0303491605
2025-10-27,2025-12,ROLL_OPEN,LONG,7134.3,557.1,460.0,7090.0,0.40061538933016294,0.0008306292324276718,0.0006350922340600754,-4006,18659051.98864916,-5622060.0,6116140.0,-66568.01135083954,194870.495,232641.4936491605
2025-10-28,2025-12,ROLL_CLOSE (Gamma decay (0.000000 < 0.000281)),LONG,7134.3,950.0,310.0,7660.0,1.0,0.0,0.0005618941177029462,0,597629.9200314917,-3193060.0,3832720.0,-42030.0799685064,238635.50079999998,358994.41923149367
2025-10-28,2025-12,ROLL_OPEN,SHORT,7600.0,700.0,531.0,7660.0,-0.5136562749442226,0.0006953304002006045,0.0005618941177029462,5137,-26441790.07996851,-3193060.0,3832720.0,-42030.0799685064,287061.89989999996,310568.0201314937
2025-10-30,2025-12,ROLL_CLOSE (Net delta too high (0.52 > 0.5)),SHORT,7600.0,990.0,420.0,8005.0,0.5191994560758519,0.00047356722986310114,0.0004339615153712307,0,478803.13102321327,-4983060.0,5555880.0,-94016.86897678865,340110.8108,138692.32022321137
2025-10-30,2025-12,ROLL_OPEN,SHORT,7934.3,840.0,570.0,8005.0,-0.32075387944772893,0.0004966219203497224,0.0004339615153712307,3208,-11101236.868976787,-4983060.0,5555880.0,-94016.86897678865,383847.235,94955.89602321136
2025-10-31,2025-12,ROLL_CLOSE (Net delta too high (0.69 > 0.5)),SHORT,7934.3,1350.0,374.0,8845.0,0.6875879936337244,0.0003402774529850375,0.00037592094058466974,0,24398.826747342944,-8123060.0,8250600.0,-103141.17325265998,435493.96479999996,-411095.1380526599
2025-10-31,2025-12,ROLL_OPEN,SHORT,8813.1,856.002,758.0,8845.0,-0.25436073176737306,0.00045966808552982513,0.00037592094058466974,2544,-6337261.173252657,-8123060.0,8250600.0,-103141.17325265998,481387.52119999996,-456988.6944526599
2025-12-18,2025-12,CLOSE_OPEX_END,SHORT,8813.1,0.0,493.10000000000036,8320.0,0.0,0.0,0.0,0,14627892.408426987,3085959.9999999963,6762600.0,-151667.59157301352,519411.04909999995,9177481.359326983
